magnet_hole_diameter,magnet_outer_diameter,magnet_length,cap_length,tube_outer_diameter,coil_outer_diameter,coil_length,magnetics_outer_diameter,magnetics_length,force
2.54,6.45,6.35,0,9.524999999999999,10.525,0.1,20.525,19.05,-0.00761984114474886
2.54,6.45,6.35,0,9.524999999999999,10.525,1.1,20.525,19.05,0.05560422065771964
2.54,6.45,6.35,0,9.524999999999999,10.525,2.1,20.525,19.05,0.06923690523728608
2.54,6.45,6.35,0,9.524999999999999,10.525,3.1,20.525,19.05,0.1286207792863073
2.54,6.45,6.35,0,9.524999999999999,10.525,4.1,20.525,19.05,0.1775255335109148
2.54,6.45,6.35,0,9.524999999999999,10.525,5.1,20.525,19.05,0.2037999651111858
2.54,6.45,6.35,0,9.524999999999999,10.525,6.1,20.525,19.05,0.2111018160716772
2.54,6.45,6.35,0,9.524999999999999,12.525,0.1,22.525,19.05,0.007534574809161533
2.54,6.45,6.35,0,9.524999999999999,12.525,1.1,22.525,19.05,0.1170704762649848
2.54,6.45,6.35,0,9.524999999999999,12.525,2.1,22.525,19.05,0.2529620391872937
2.54,6.45,6.35,0,9.524999999999999,12.525,3.1,22.525,19.05,0.3328021529086079
2.54,6.45,6.35,0,9.524999999999999,12.525,4.1,22.525,19.05,0.4055612146851103
2.54,6.45,6.35,0,9.524999999999999,12.525,5.1,22.525,19.05,0.4686830755529922
2.54,6.45,6.35,0,9.524999999999999,12.525,6.1,22.525,19.05,0.5114532244828258
2.54,6.45,6.35,0,9.524999999999999,14.525,0.1,24.525,19.05,0.05163590160913256
2.54,6.45,6.35,0,9.524999999999999,14.525,1.1,24.525,19.05,0.1817384328182518
2.54,6.45,6.35,0,9.524999999999999,14.525,2.1,24.525,19.05,0.3374865315074395
2.54,6.45,6.35,0,9.524999999999999,14.525,3.1,24.525,19.05,0.4203627029549388
2.54,6.45,6.35,0,9.524999999999999,14.525,4.1,24.525,19.05,0.5729417730936626
2.54,6.45,6.35,0,9.524999999999999,14.525,5.1,24.525,19.05,0.6680499134225365
2.54,6.45,6.35,0,9.524999999999999,14.525,6.1,24.525,19.05,0.7097962490186905
2.54,6.45,6.35,0,9.524999999999999,16.525,0.1,26.525,19.05,0.008345845230260121
2.54,6.45,6.35,0,9.524999999999999,16.525,1.1,26.525,19.05,0.2150234278149218
2.54,6.45,6.35,0,9.524999999999999,16.525,2.1,26.525,19.05,0.3497435451383347
2.54,6.45,6.35,0,9.524999999999999,16.525,3.1,26.525,19.05,0.5377033100371167
2.54,6.45,6.35,0,9.524999999999999,16.525,4.1,26.525,19.05,0.6400521726267963
2.54,6.45,6.35,0,9.524999999999999,16.525,5.1,26.525,19.05,0.7808334054996839
2.54,6.45,6.35,0,9.524999999999999,16.525,6.1,26.525,19.05,0.8771018951666781
2.54,6.45,6.35,0,9.524999999999999,18.525,0.1,28.525,19.05,0.02695683225570855
2.54,6.45,6.35,0,9.524999999999999,18.525,1.1,28.525,19.05,0.2142715048570111
2.54,6.45,6.35,0,9.524999999999999,18.525,2.1,28.525,19.05,0.4155062695060434
2.54,6.45,6.35,0,9.524999999999999,18.525,3.1,28.525,19.05,0.6106511081144734
2.54,6.45,6.35,0,9.524999999999999,18.525,4.1,28.525,19.05,0.7325321875804745
2.54,6.45,6.35,0,9.524999999999999,18.525,5.1,28.525,19.05,0.8719222477790192
2.54,6.45,6.35,0,9.524999999999999,18.525,6.1,28.525,19.05,0.9452036921099166
2.54,6.45,6.35,0,9.524999999999999,20.525,0.1,30.525,19.05,0.02775058804523333
2.54,6.45,6.35,0,9.524999999999999,20.525,1.1,30.525,19.05,0.243508039482775
2.54,6.45,6.35,0,9.524999999999999,20.525,2.1,30.525,19.05,0.4493896539946053
2.54,6.45,6.35,0,9.524999999999999,20.525,3.1,30.525,19.05,0.6337969670742162
2.54,6.45,6.35,0,9.524999999999999,20.525,4.1,30.525,19.05,0.8044713038782029
2.54,6.45,6.35,0,9.524999999999999,20.525,5.1,30.525,19.05,0.9539298768966594
2.54,6.45,6.35,0,9.524999999999999,20.525,6.1,30.525,19.05,1.052174811075308
2.54,6.45,6.35,0,9.524999999999999,22.525,0.1,32.525,19.05,0.04175691754647205
2.54,6.45,6.35,0,9.524999999999999,22.525,1.1,32.525,19.05,0.2584082501651733
2.54,6.45,6.35,0,9.524999999999999,22.525,2.1,32.525,19.05,0.4957425905165976
2.54,6.45,6.35,0,9.524999999999999,22.525,3.1,32.525,19.05,0.666532841510221
2.54,6.45,6.35,0,9.524999999999999,22.525,4.1,32.525,19.05,0.8158351889853569
2.54,6.45,6.35,0,9.524999999999999,22.525,5.1,32.525,19.05,0.9732385852256056
2.54,6.45,6.35,0,9.524999999999999,22.525,6.1,32.525,19.05,1.102603029649595
2.54,6.45,6.35,0,9.524999999999999,24.525,0.1,34.525,19.05,0.03844774346095489
2.54,6.45,6.35,0,9.524999999999999,24.525,1.1,34.525,19.05,0.2380524615343893
2.54,6.45,6.35,0,9.524999999999999,24.525,2.1,34.525,19.05,0.4727496496379047
2.54,6.45,6.35,0,9.524999999999999,24.525,3.1,34.525,19.05,0.701188734906783
2.54,6.45,6.35,0,9.524999999999999,24.525,4.1,34.525,19.05,0.863230110628527
2.54,6.45,6.35,0,9.524999999999999,24.525,5.1,34.525,19.05,1.033143216076566
2.54,6.45,6.35,0,9.524999999999999,24.525,6.1,34.525,19.05,1.165913825430652
2.54,6.45,6.35,0,9.524999999999999,26.525,0.1,36.525,19.05,0.03192816465107058
2.54,6.45,6.35,0,9.524999999999999,26.525,1.1,36.525,19.05,0.2819200235174343
2.54,6.45,6.35,0,9.524999999999999,26.525,2.1,36.525,19.05,0.4671114692240985
2.54,6.45,6.35,0,9.524999999999999,26.525,3.1,36.525,19.05,0.7131803797015401
2.54,6.45,6.35,0,9.524999999999999,26.525,4.1,36.525,19.05,0.8858786353560767
2.54,6.45,6.35,0,9.524999999999999,26.525,5.1,36.525,19.05,1.038096637931816
2.54,6.45,6.35,0,9.524999999999999,26.525,6.1,36.525,19.05,1.148638908373255
2.54,6.45,6.35,0,9.524999999999999,28.525,0.1,38.525,19.05,0.009252096891308849
2.54,6.45,6.35,0,9.524999999999999,28.525,1.1,38.525,19.05,0.3042640010331681
