magnet_hole_diameter,magnet_outer_diameter,magnet_length,cap_length,tube_outer_diameter,coil_outer_diameter,coil_length,magnetics_outer_diameter,magnetics_length,force
2.54,6.45,6.35,0,9.524999999999999,10.525,0.1,20.525,19.05,-0.00761984114474886
2.54,6.45,6.35,0,9.524999999999999,10.525,0.2,20.525,19.05,-0.008599729136532999
2.54,6.45,6.35,0,9.524999999999999,10.525,0.3,20.525,19.05,-0.004610910771893265
2.54,6.45,6.35,0,9.524999999999999,10.525,0.4,20.525,19.05,0.0170017856830253
2.54,6.45,6.35,0,9.524999999999999,10.525,0.5,20.525,19.05,0.02927530964222634
2.54,6.45,6.35,0,9.524999999999999,10.525,0.6,20.525,19.05,0.04556998491489823
2.54,6.45,6.35,0,9.524999999999999,10.525,0.7,20.525,19.05,0.03984956248845466
2.54,6.45,6.35,0,9.524999999999999,10.525,0.7999999999999999,20.525,19.05,0.02584755712126622
2.54,6.45,6.35,0,9.524999999999999,10.525,0.8999999999999999,20.525,19.05,0.0877781993230263
2.54,6.45,6.35,0,9.524999999999999,10.525,0.9999999999999999,20.525,19.05,0.07851482791533763
2.54,6.45,6.35,0,9.524999999999999,10.525,1.1,20.525,19.05,0.05560422065771964
2.54,6.45,6.35,0,9.524999999999999,10.525,1.2,20.525,19.05,0.03185064957790205
2.54,6.45,6.35,0,9.524999999999999,10.525,1.3,20.525,19.05,0.01582091655146496
2.54,6.45,6.35,0,9.524999999999999,10.525,1.4,20.525,19.05,0.05564363781669574
2.54,6.45,6.35,0,9.524999999999999,10.525,1.5,20.525,19.05,0.0549359168815566
2.54,6.45,6.35,0,9.524999999999999,10.525,1.6,20.525,19.05,0.04203225135725244
2.54,6.45,6.35,0,9.524999999999999,10.525,1.7,20.525,19.05,0.07375865159915139
2.54,6.45,6.35,0,9.524999999999999,10.525,1.800000000000001,20.525,19.05,0.0633250995418064
2.54,6.45,6.35,0,9.524999999999999,10.525,1.900000000000001,20.525,19.05,0.08348702521648417
2.54,6.45,6.35,0,9.524999999999999,10.525,2,20.525,19.05,0.07700157847372505
2.54,6.45,6.35,0,9.524999999999999,10.525,2.100000000000001,20.525,19.05,0.06925341045108563
2.54,6.45,6.35,0,9.524999999999999,10.525,2.200000000000001,20.525,19.05,0.1254808968395183
2.54,6.45,6.35,0,9.524999999999999,10.525,2.300000000000001,20.525,19.05,0.1160429770949945
2.54,6.45,6.35,0,9.524999999999999,10.525,2.400000000000001,20.525,19.05,0.1280901504165527
2.54,6.45,6.35,0,9.524999999999999,10.525,2.500000000000001,20.525,19.05,0.1411982966792048
2.54,6.45,6.35,0,9.524999999999999,10.525,2.600000000000001,20.525,19.05,0.121927980885796
2.54,6.45,6.35,0,9.524999999999999,10.525,2.700000000000001,20.525,19.05,0.1240269520894995
2.54,6.45,6.35,0,9.524999999999999,10.525,2.800000000000001,20.525,19.05,0.1347346733928788
2.54,6.45,6.35,0,9.524999999999999,10.525,2.900000000000001,20.525,19.05,0.1312988265518222
2.54,6.45,6.35,0,9.524999999999999,10.525,3.000000000000001,20.525,19.05,0.1355456569888768
2.54,6.45,6.35,0,9.524999999999999,10.525,3.100000000000001,20.525,19.05,0.1285484576142115
2.54,6.45,6.35,0,9.524999999999999,10.525,3.200000000000002,20.525,19.05,0.1503862572294164
2.54,6.45,6.35,0,9.524999999999999,10.525,3.300000000000002,20.525,19.05,0.1534599462014405
